Setpoint,8V,Setpoint,8.25V,Setpoint,8.5V,Setpoint,9V,Setpoint,9.5V,Setpoint,10V,Setpoint,12V,,Voltage,Ideal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,
2,0.021,2,0.019,2,0.021,2,0.021,2,0.021,2,0.02,2,0.022,2,,
3,0.026,3,0.027,3,0.027,3,0.027,3,0.027,3,0.026,3,0.027,,,
4,0.033,4,0.033,4,0.033,4,0.033,4,0.034,4,0.033,4,0.034,3,,
5,0.04,5,0.04,5,0.04,5,0.04,5,0.041,5,0.04,5,0.042,4,,
6,0.047,6,0.047,6,0.047,6,0.047,6,0.048,6,0.047,6,0.048,5,,
7,0.054,7,0.054,7,0.055,7,0.054,7,0.055,7,0.054,7,0.055,,,
8,0.061,8,0.061,8,0.061,8,0.061,8,0.062,8,0.061,8,0.062,6,,
9,0.068,9,0.068,9,0.068,9,0.068,9,0.068,9,0.068,9,0.068,7,,
10,0.075,10,0.075,10,0.076,10,0.077,10,0.075,10,0.075,10,0.076,,,
11,0.082,11,0.083,11,0.083,11,0.085,11,0.083,11,0.083,11,0.083,,,
12,0.091,12,0.091,12,0.091,12,0.091,12,0.092,12,0.09,12,0.091,,,
13,0.101,13,0.1,13,0.1,13,0.1,13,0.102,13,0.101,13,0.1,,,
14,0.113,14,0.112,14,0.111,14,0.114,14,0.114,14,0.112,14,0.109,,,
15,0.125,15,0.123,15,0.122,15,0.125,15,0.126,15,0.124,15,0.122,,,
16,0.136,16,0.136,16,0.134,16,0.137,16,0.138,16,0.137,16,0.133,,,
17,0.15,17,0.148,17,0.145,17,0.15,17,0.151,17,0.15,17,0.145,,,
18,0.163,18,0.163,18,0.16,18,0.163,18,0.165,18,0.163,18,0.157,,,
19,0.177,19,0.175,19,0.172,19,0.176,19,0.179,19,0.177,19,0.171,,,
20,0.192,20,0.191,20,0.187,20,0.19,20,0.195,20,0.191,20,0.184,,,
21,0.205,21,0.205,21,0.2,21,0.205,21,0.21,21,0.204,21,0.198,,,
22,0.222,22,0.22,22,0.215,22,0.221,22,0.224,22,0.222,22,0.212,,,
23,0.237,23,0.235,23,0.23,23,0.236,23,0.24,23,0.238,23,0.226,,,
24,0.254,24,0.25,24,0.246,24,0.252,24,0.256,24,0.254,24,0.243,,,
25,0.27,25,0.269,25,0.262,25,0.27,25,0.273,25,0.27,25,0.258,,,
30,0.36,30,0.36,30,0.349,30,0.36,30,0.364,30,0.36,26,0.274,,,
