Setpoint,8V,Setpoint,8.25V,Setpoint,8.5V,Setpoint,9V,Setpoint,9.5V,Setpoint,10V,Setpoint,12V,,Voltage,Ideal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.000818071,0.006845781
2,0.021,2,0.019,2,0.021,2,0.021,2,0.021,2,0.02,2,0.022,2,0.001636142,0.013691562
3,0.026,3,0.027,3,0.027,3,0.027,3,0.027,3,0.026,3,0.027,3,0.002454212,0.020537343
4,0.033,4,0.033,4,0.033,4,0.033,4,0.034,4,0.033,4,0.034,4,0.003272283,0.027383124
5,0.04,5,0.04,5,0.04,5,0.04,5,0.041,5,0.04,5,0.042,5,0.004090354,0.034228905
6,0.047,6,0.047,6,0.047,6,0.047,6,0.048,6,0.047,6,0.048,6,0.004908425,0.041074685
7,0.054,7,0.054,7,0.055,7,0.054,7,0.055,7,0.054,7,0.055,7,0.005726496,0.047920466
8,0.061,8,0.061,8,0.061,8,0.061,8,0.062,8,0.061,8,0.062,8,0.006544567,0.054766247
9,0.068,9,0.068,9,0.068,9,0.068,9,0.068,9,0.068,9,0.068,9,0.007362637,0.061612028
10,0.075,10,0.075,10,0.076,10,0.077,10,0.075,10,0.075,10,0.076,10,0.008180708,0.068457809
11,0.082,11,0.083,11,0.083,11,0.085,11,0.083,11,0.083,11,0.083,11,0.008998779,0.07530359
12,0.091,12,0.091,12,0.091,12,0.091,12,0.092,12,0.09,12,0.091,12,0.00981685,0.082149371
13,0.101,13,0.1,13,0.1,13,0.1,13,0.102,13,0.101,13,0.1,13,0.010634921,0.088995152
14,0.113,14,0.112,14,0.111,14,0.114,14,0.114,14,0.112,14,0.109,14,0.011452991,0.095840933
15,0.125,15,0.123,15,0.122,15,0.125,15,0.126,15,0.124,15,0.122,15,0.012271062,0.102686714
16,0.136,16,0.136,16,0.134,16,0.137,16,0.138,16,0.137,16,0.133,16,0.013089133,0.109532494
17,0.15,17,0.148,17,0.145,17,0.15,17,0.151,17,0.15,17,0.145,17,0.013907204,0.116378275
18,0.163,18,0.163,18,0.16,18,0.163,18,0.165,18,0.163,18,0.157,18,0.014725275,0.123224056
19,0.177,19,0.175,19,0.172,19,0.176,19,0.179,19,0.177,19,0.171,19,0.015543346,0.130069837
20,0.192,20,0.191,20,0.187,20,0.19,20,0.195,20,0.191,20,0.184,20,0.016361416,0.136915618
21,0.205,21,0.205,21,0.2,21,0.205,21,0.21,21,0.204,21,0.198,21,0.017179487,0.143761399
22,0.222,22,0.22,22,0.215,22,0.221,22,0.224,22,0.222,22,0.212,22,0.017997558,0.15060718
23,0.237,23,0.235,23,0.23,23,0.236,23,0.24,23,0.238,23,0.226,23,0.018815629,0.157452961
24,0.254,24,0.25,24,0.246,24,0.252,24,0.256,24,0.254,24,0.243,24,0.0196337,0.164298742
25,0.27,25,0.269,25,0.262,25,0.27,25,0.273,25,0.27,25,0.258,25,0.02045177,0.171144523
30,0.36,30,0.36,30,0.349,30,0.36,30,0.364,30,0.36,26,0.274,26,0.021269841,0.177990304
35,0.46,35,0.456,35,0.443,35,0.456,35,0.463,35,0.46,27,0.292,27,0.022087912,0.184836084
40,0.568,40,0.561,40,0.546,40,0.56,40,0.57,40,0.566,28,0.307,28,0.022905983,0.191681865
45,0.678,45,0.673,45,0.656,45,0.673,45,0.683,45,0.678,29,0.324,29,0.023724054,0.198527646
50,0.762,50,0.792,50,0.771,50,0.791,50,0.802,50,0.797,30,0.341,30,0.024542125,0.205373427
55,0.845,55,0.885,55,0.89,55,0.91,55,0.928,55,0.918,31,0.36,31,0.025360195,0.212219208
60,0.933,60,0.975,60,0.991,60,1.037,60,1.055,60,1.047,32,0.377,32,0.026178266,0.219064989
65,1.008,65,1.064,65,1.08,65,1.16,65,1.185,65,1.175,33,0.395,33,0.026996337,0.22591077
70,1.056,70,1.145,70,1.167,70,1.264,70,1.305,70,1.296,34,0.414,34,0.027814408,0.232756551
75,1.1,75,1.217,75,1.255,75,1.35,75,1.43,75,1.42,35,0.432,35,0.028632479,0.239602332
80,1.136,80,1.27,80,1.335,80,1.445,80,1.56,80,1.545,40,0.532,36,0.029450549,0.246448113
85,1.172,85,1.31,85,1.4,85,1.54,85,1.65,85,1.672,45,0.635,37,0.03026862,0.253293893
90,1.206,90,1.35,90,1.45,90,1.63,90,1.745,90,1.8,50,0.745,38,0.031086691,0.260139674
95,1.24,95,1.388,95,1.486,95,1.717,95,1.845,95,1.93,55,0.855,39,0.031904762,0.266985455
100,1.275,100,1.423,100,1.524,100,1.794,100,1.943,100,2.025,60,0.975,40,0.032722833,0.273831236
105,1.307,105,1.46,105,1.56,105,1.85,105,2.046,105,2.118,65,1.093,41,0.033540904,0.280677017
110,1.338,110,1.492,110,1.595,110,1.897,110,2.147,110,2.218,70,1.205,42,0.034358974,0.287522798
115,1.37,115,1.525,115,1.633,115,1.94,115,2.235,115,2.33,75,1.32,43,0.035177045,0.294368579
120,1.4,120,1.558,120,1.665,120,1.976,120,2.31,120,2.425,80,1.435,44,0.035995116,0.30121436
125,1.43,125,1.59,125,1.7,125,2.013,125,2.36,125,2.52,85,1.554,45,0.036813187,0.308060141
130,1.46,130,1.622,130,1.735,130,2.052,130,2.41,130,2.626,90,1.672,46,0.037631258,0.314905922
135,1.493,135,1.656,135,1.772,135,2.092,135,2.46,135,2.722,95,1.791,47,0.038449328,0.321751703
140,1.524,140,1.69,140,1.808,140,2.127,140,2.504,140,2.797,100,1.91,48,0.039267399,0.328597483
145,1.556,145,1.725,145,1.843,145,2.162,145,2.546,145,2.85,105,2.035,49,0.04008547,0.335443264
150,1.587,150,1.757,150,1.876,150,2.2,150,2.588,150,2.9,110,2.155,50,0.040903541,0.342289045
155,1.618,155,1.79,155,1.905,155,2.235,155,2.63,155,2.947,115,2.274,51,0.041721612,0.349134826
160,1.647,160,1.819,160,1.94,160,2.276,160,2.668,160,3,120,2.395,52,0.042539683,0.355980607
165,1.677,165,1.85,165,1.97,165,2.315,165,2.705,165,3.041,125,2.515,53,0.043357753,0.362826388
170,1.707,170,1.88,170,2.005,170,2.35,170,2.743,170,3.08,130,2.645,54,0.044175824,0.369672169
175,1.735,175,1.91,175,2.045,175,2.38,175,2.777,175,3.13,135,2.782,55,0.044993895,0.37651795
180,1.763,180,1.94,180,2.085,180,2.41,180,2.815,180,3.18,140,2.917,56,0.045811966,0.383363731
185,1.794,185,1.97,185,2.117,185,2.44,185,2.85,185,3.22,145,3.052,57,0.046630037,0.390209512
190,1.821,190,1.998,190,2.145,190,2.472,190,2.883,190,3.25,150,3.185,58,0.047448107,0.397055292
195,1.847,195,2.024,195,2.173,195,2.5,195,2.914,195,3.29,155,3.31,59,0.048266178,0.403901073
200,1.87,200,2.05,200,2.2,200,2.525,200,2.943,200,3.32,160,3.43,60,0.049084249,0.410746854
205,1.895,225,2.17,225,2.32,225,2.658,225,3.078,225,3.45,165,3.555,61,0.04990232,0.417592635
210,1.92,250,2.285,250,2.435,250,2.781,250,3.205,250,3.586,170,3.68,62,0.050720391,0.424438416
215,1.943,275,2.4,275,2.554,275,2.903,275,3.333,275,3.72,175,3.8,63,0.051538462,0.431284197
220,1.966,300,2.514,300,2.672,300,3.026,300,3.456,300,3.85,180,3.917,64,0.052356532,0.438129978
225,1.99,325,2.616,325,2.775,325,3.144,325,3.57,325,3.96,185,4.025,65,0.053174603,0.444975759
230,2.013,350,2.705,350,2.87,350,3.235,350,3.667,350,4.065,190,4.135,66,0.053992674,0.45182154
235,2.035,375,2.795,375,2.96,375,3.325,375,3.76,375,4.167,195,4.235,67,0.054810745,0.458667321
240,2.057,400,2.89,400,3.056,400,3.435,400,3.863,400,4.27,200,4.34,68,0.055628816,0.465513101
245,2.078,425,2.985,425,3.16,425,3.53,425,3.967,425,4.38,205,4.42,69,0.056446886,0.472358882
250,2.1,450,3.08,450,3.25,450,3.63,450,4.07,450,4.48,210,4.49,70,0.057264957,0.479204663
260,2.147,475,3.163,475,3.345,475,3.72,475,4.157,475,4.57,215,4.51,71,0.058083028,0.486050444
270,2.194,500,3.248,500,3.43,500,3.805,500,4.245,500,4.665,220,4.555,72,0.058901099,0.492896225
280,2.24,525,3.335,525,3.52,525,3.895,525,4.337,525,4.765,225,4.63,73,0.05971917,0.499742006
290,2.282,550,3.425,550,3.61,550,3.995,550,4.435,550,4.866,230,4.72,74,0.060537241,0.506587787
300,2.326,575,3.515,575,3.7,575,4.08,575,4.53,575,4.955,235,4.8,75,0.061355311,0.513433568
310,2.37,600,3.592,600,3.78,600,4.175,600,4.61,600,5.05,240,4.89,76,0.062173382,0.520279349
320,2.41,625,3.67,625,3.856,625,4.25,625,4.693,625,5.13,245,4.97,77,0.062991453,0.52712513
330,2.445,650,3.755,650,3.946,650,4.337,650,4.778,650,5.22,250,5,78,0.063809524,0.533970911
